id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
49158646,Brand new apartment in the best location of SF,10800264,Ada,,South of Market,37.77858,-122.4047,Entire home/apt,129,30,1,2021-08-07,0.25,1,251,1,
49161676,Cozy Private Guest Suite + Parking&Yard 5 min→SFSU,13340074,May,,Lakeshore,37.71984,-122.47423,Entire home/apt,120,2,31,2021-11-27,31,1,310,31,STR-0004776
49180146,Bright Urban Retreat w/ Private Entrance,9207613,Hayden,,Twin Peaks,37.7544,-122.45452,Entire home/apt,142,2,37,2021-11-28,17.90,1,3,37,STR-0004780
49195433,Quesada Gardens Sunny Home,82999389,Serena,,Bayview,37.73325,-122.39317,Entire home/apt,180,30,0,,,2,363,0,
49200817,Alta Plaza Park Suite,303118342,Jesse,,Pacific Heights,37.79155,-122.43619,Entire home/apt,130,30,0,,,16,291,0,
49213228,Family-friendly Modern Noe Valley Gem,286148,Donaji,,Noe Valley,37.75194,-122.43351,Entire home/apt,189,28,1,2021-07-11,0.20,1,0,1,pending
49215904,Beautiful Studio in the heart of Sun Francisco,373088371,Oksana,,Nob Hill,37.79158,-122.41151,Entire home/apt,80,30,3,2021-08-01,1.58,9,290,3,
49217088,HEART OF THE CITY | NEXT TO DOLORES PARK | BEST,395144334,Katarina,,Castro/Upper Market,37.75999,-122.43003,Entire home/apt,333,30,1,2021-05-29,0.16,1,180,1,
49217813,Queen Garden Room Near UCSF and Golden Gate Park,43918217,Mike,,Inner Sunset,37.76525,-122.45355,Private room,85,30,3,2021-08-31,0.49,7,320,3,
49228572,Amazing 1BR APT | full Kitchen | Pool | Laundry,9419684,Churchill,,Financial District,37.78571,-122.40073,Entire home/apt,299,31,0,,,2,365,0,
49229182,Luxury 2BR APT | Full Kitchen | Laundry | Gym,9419684,Churchill,,Financial District,37.78554,-122.40144,Entire home/apt,699,31,0,,,2,365,0,
49229434,The Upgrade - Premium Walkable Location!,165901112,Dennis,,Inner Sunset,37.765141,-122.460854,Private room,130,3,3,2021-09-30,0.42,3,65,3,City registration pending
49232531,Comforts of Home - Premium Walkable Location!,165901112,Dennis,,Inner Sunset,37.76409,-122.46005,Private room,120,3,4,2021-11-18,1.18,3,27,4,City registration pending
49245964,Spacious Clean Room,325755259,Mikko,,Outer Sunset,37.76139,-122.48895,Private room,41,30,3,2021-09-12,2.57,6,306,3,
49248632,Charming one bedroom Noe Valley.,258005,Rose,,Glen Park,37.74078,-122.42679,Entire home/apt,141,3,19,2021-11-23,4.75,1,107,19,pending
49248688,"*LUXURY* HOT TUB, PizzaOven, BIG VIEWS, 4000sqft",358877,David,,Potrero Hill,37.75803,-122.3999,Entire home/apt,1750,30,0,,,1,201,0,
49249440,Nobhill PRIVATE ROOM #4 w/ private en-suite bath,394604022,Veronica,,Downtown/Civic Center,37.78941,-122.41128,Private room,106,2,30,2021-11-07,17.65,4,72,30,STR-0004943
49251253,Spacious & Homey! Luxury studio + gym/pool/jacuzzi,397323032,Raina,,Downtown/Civic Center,37.78794,-122.42157,Entire home/apt,100,90,0,,,1,102,0,
49255910,"Convenient location, Comfortable room, on 2nd FL",9219277,Henry,,Parkside,37.74327,-122.47502,Private room,48,30,1,2021-06-26,0.19,4,60,1,
49257231,Sunny Large Penthouse Views 2 bed above Noe Valley,709325,Mark,,Twin Peaks,37.74758,-122.44549,Entire home/apt,130,30,0,,,5,329,0,
49261813,Luxury Cutting-Edge 3 Bedroom Oceanview Apartment,397433147,Brendan,,Ocean View,37.71361,-122.45653,Entire home/apt,202,30,0,,,1,337,0,
49261963,Beautiful  Spacious Flat across from ZSFGH,20859407,Doris,,Mission,37.75472,-122.40635,Entire home/apt,273,30,1,2021-08-01,0.24,3,153,1,
49263227,"Yoga Room: Good vibes, natural light, tall ceiling",20717633,Shagun,,Western Addition,37.78047,-122.43017,Private room,79,1,15,2021-11-01,15,3,149,15,pending
49268830,"Elegant, Spacious Flat in Mission Victorian",5307061,Angela,,Mission,37.75851,-122.41076,Entire home/apt,250,30,1,2021-06-07,0.17,1,24,1,
49273836,One bedroom cottage with W&D Haight Asbury,110078968,Ahmed,,Haight Ashbury,37.77279,-122.44738,Entire home/apt,104,30,3,2021-10-31,0.50,11,351,3,
49274044,Sunny 1 Bedroom Corporate Rental with Parking,46495135,Matthew,,Mission,37.75493,-122.42149,Entire home/apt,99,30,1,2021-06-29,0.19,3,224,1,
49275786,"Modern, New Studio with Private Patio",129904961,Galina,,Pacific Heights,37.79373,-122.42655,Entire home/apt,101,30,3,2021-09-15,1.76,5,328,3,
49275820,Amazing Victorian House with Breathtaking views,58232149,Carlos,,Potrero Hill,37.759869,-122.402878,Entire home/apt,274,1,45,2021-11-30,7.80,1,123,45,pending
49276273,Large1B/1BA Haight Ashbury with W&D #3,110078968,Ahmed,,Haight Ashbury,37.76958,-122.45248,Entire home/apt,115,30,3,2021-11-11,0.94,11,285,3,
49278321,2 BR home on secluded cul-de-sac in Laurel heights,86183328,Jeff,,Presidio Heights,37.78449,-122.44775,Entire home/apt,240,30,1,2021-07-03,0.19,2,137,1,
49288756,Alta Plaza Park Suite Pacific Heights,6763925,Araceli,,Pacific Heights,37.79129,-122.43633,Entire home/apt,134,30,1,2021-08-20,0.28,15,291,1,
49289326,"Top Floor Iconic, RENOVATED, SF Flat with views!",1587637,Rhanda,,Nob Hill,37.79549,-122.41211,Entire home/apt,95,30,3,2021-11-12,0.50,2,157,3,
49292010,Stylish Modern Lux City 1 BR in Pac Heights,16189585,Yannie,,Western Addition,37.78996,-122.42449,Entire home/apt,130,30,3,2021-11-21,0.56,1,2,3,
49295380,Spacious 4 bd home in the heart of San Francisco,4093167,Jeremie,,Haight Ashbury,37.76065,-122.45107,Entire home/apt,850,4,14,2021-12-03,3.47,2,168,14,pending
49296464,Alta Plaza Park Studio,303118342,Jesse,,Pacific Heights,37.78971,-122.43572,Entire home/apt,107,30,0,,,16,305,0,
49327047,Loft in the heart of Marina,157999191,Berlin,,Marina,37.80084,-122.43287,Entire home/apt,88,30,3,2021-08-27,2.20,14,130,3,
49343783,Lower Nob Hill Apartment,122884305,Rick,,Nob Hill,37.78985,-122.4134,Private room,85,2,1,2021-05-17,0.15,1,75,1,pending
49345149,Spacious Edwardian Flat Near Dolores Whole Foods,551394,Josh,,Mission,37.76745,-122.42426,Entire home/apt,135,30,3,2021-11-13,0.76,1,89,3,
49346564,Bright and Spacious Deluxe Room with 1 King Bed,323621670,Hotel Caza,,North Beach,37.80774,-122.41857,Private room,155,1,111,2021-11-30,43.25,6,98,111,Licensed Hotel/B&B
49370290,"Privacy, Parking, and Proximity to SF sights",9062586,Diana,,Lakeshore,37.73108,-122.47186,Entire home/apt,650,7,3,2021-09-01,0.65,1,100,3,STR-0004769
49370312,Cozy 2 Bedroom Bernal Heights Apt,13985971,Karen,,Bernal Heights,37.74064,-122.41382,Entire home/apt,150,30,2,2021-08-31,0.33,1,103,2,
49370364,Perfect for someone loving the park + ocean vibe.,325755259,Mikko,,Outer Sunset,37.76138,-122.48927,Private room,39,30,0,,,6,365,0,
49370884,1 bedroom with views of the Golden Gate Bridge!,40529892,Vruti,,Pacific Heights,37.796,-122.43103,Entire home/apt,225,30,0,,,1,350,0,
49372387,1 Bed perfect for Work from home!,379541476,Siddharth,,Mission,37.76808,-122.42144,Private room,43,45,0,,,2,164,0,
49372509,Marina Waterfront Home,262054570,Kenny,,Marina,37.80633,-122.43416,Entire home/apt,2500,2,0,,,3,156,0,STR-0004893
49383136,Private & Clean 1BR | Pool & Gym | Union Square,30283594,Global Luxury Suites,,Financial District,37.78618,-122.40057,Entire home/apt,199,30,0,,,2,365,0,
49383239,Private room near Alamo Square with back yard!,81052860,Angelo,,Haight Ashbury,37.77673,-122.43884,Private room,60,30,0,,,1,0,0,
49383683,Fully Furnished 2BR | Pool & Gym | Union Square,30283594,Global Luxury Suites,,Financial District,37.78561,-122.40094,Entire home/apt,269,30,0,,,2,365,0,
49409072,Charmer by the Park,22735680,Leslie,,Outer Sunset,37.76477,-122.48211,Entire home/apt,130,30,0,,,1,149,0,
49418236,"Prime Mid Century Flat, Laundry, Parking.",137980,Jack,,Castro/Upper Market,37.75948,-122.43949,Entire home/apt,595,30,2,2021-10-09,0.65,3,207,2,
